전문/일반,품명,국가,포장단위, 금액(USD)
일반,라미실크림1%(테르비나핀염산염),SWITZERLAND,15G/TUBE,"  1,075,505 "
일반,스완안약(SWANEYEDROPS),JAPAN,15ML/BOTTLE,"  89,202 "
일반,듀라티얼즈안연고(무수액체라놀린),BELGIUM,3.5G/1TUBE/PACK,"  417,372 "
일반,얄액,GERMANY,67.5ML/10BOTTLE/BOX,"  120,955 "
일반,투진액(목근피틴크),CHINA,18ML/BOTTLE,"  35,464 "
일반,티얼즈내츄럴Ⅱ점안액,SINGAPORE,15ML/1BOTTLE/PACK,"  29,614 "
일반,티얼즈내츄럴프리점안액(1회용),FRANCE,0.8CC/32TUBE/PACK,"  27,660 "
일반,비아핀에멀젼(트롤아민),FRANCE,46.5G/TUBE,"  239,876 "
일반,미보(MEBO)연고,CHINA,10G/TUBE,"  450,000 "
일반,미보(MEBO)연고,CHINA,40G/TUBE,"  210,000 "
일반,옵티덤크림,GERMANY,50G/TUBE,"  43,572 "
일반,포스테리산좌제,GERMANY,10EA/CASE,"  102,069 "
일반,포스테리산연고,GERMANY,25G/TUBE,"  62,341 "
일반,마이크로실드4액(글루콘산클로르헥시딘),AUSTRALIA,1.5L/BOTTLE,"  190,568 "
일반,마이크로실드4액(글루콘산클로르헥시딘),AUSTRALIA,500ML/BOTTLE,"  363,126 "
일반,오트리빈멘톨0.1%분무제(자일로메타졸린염산염),SWITZERLAND,10ML/BOTTLE,"  3,442,857 "
일반,라미실외용액(테르비나핀염산염),FRANCE,30ML/BOTTLE,"  118,791 "
일반,니코틴엘TTS10(니코틴),GERMANY,7PCS/PACK,"  559,909 "
일반,니코틴엘TTS20(니코틴),GERMANY,7PCS/PACK,"  798,545 "
일반,니코틴엘TTS30(니코틴),GERMANY,7PCS/PACK,"  789,775 "
일반,라미실덤겔1%(테르비나핀),SWITZERLAND,15G/TUBE,  37 
일반,드리클로액(염화알루미늄수화물),UK,20ML/BOTTLE,"  2,219,966 "
일반,협진폴리엘가정(돼지비장가수분해분말),GERMANY,10TAB/10PTP/PACK,"  266,799 "
일반,델코티눈고(살리실산50%),JAPAN,6매/BOX,"  115,433 "
일반,멘소래담로션(Mentholatumlotion),USA,100ML/1EA/BOX,"  820,198 "
일반,멘소래담로션(Mentholatumlotion),USA,450ML/1EA/BOX,"  480,386 "
일반,멘소래담로션(Mentholatumlotion),USA,75ML/1EA/BOX,"  929,663 "
일반,미뉴렛정,IRELAND,21TAB/1PTP/PACK,"  149,498 "
일반,카네스텐크림(클로트리마졸),AUSTRALIA,100G/1TUBE/PACK,"  84,444 "
일반,카네스텐크림(클로트리마졸),AUSTRALIA,10G/1TUBE/PACK,"  312,728 "
일반,카네스텐크림(클로트리마졸),AUSTRALIA,20G/1TUBE/PACK,"  807,207 "
일반,페라세이프(과붕산나트륨),UK,16.2G/100PACK/BOX,"  104,169 "
일반,페라세이프(과붕산나트륨),UK,162G/12BOTTLE/BOX,"  572,242 "
일반,페라세이프(과붕산나트륨),UK,810G/6BOTTLE/BOX,"  120,027 "
일반,포소루틴점안액(트록세루틴),GERMANY,10ML/BOTTLE,"  84,030 "
일반,쓰리엠스테리-가스EO카트리지,USA,100G/12EA/BOX,"  296,326 "
일반,쓰리엠스테리-가스EO카트리지,USA,170G/12EA/BOX,"  483,948 "
일반,로세릴네일라카(아모롤핀염산염),FRANCE,3ML/BOTTLE,"  11,868 "
일반,로세릴네일라카(아모롤핀염산염),FRANCE,5ML/BOTTLE,"  15,147 "
일반,클라리틴시럽(로라타딘),BELGIUM,100ML/1BOTTLE/PACK,"  11,795 "
일반,어인약손파스,TAIWAN,5PIECE/PACK(15*11CM),"  106,672 "
일반,카네스텐산제(클로트리마졸),ITALY,30G/1BOTTLE/PACK,"  354,827 "
일반,카네스텐1질정(클로트리마졸),GERMANY,1TAB/1PTP/PACK,"  87,596 "
일반,카네스텐1질정(클로트리마졸),GERMANY,6TAB/2PTP/PACK,"  155,712 "
일반,카네스텐질정(클로트리마졸),GERMANY,6TAB/1PTP/PACK,"  328,619 "
일반,바이엘아스피린정500밀리그람,GERMANY,10TAB/10PTP/PACK,"  34,539 "
일반,바이엘아스피린정500밀리그람,INDONESIA,10TAB/2PTP/PACK,"  361,342 "
일반,바이엘아스피린정100밀리그람,GERMANY,10TAB/3PTP/PACK,"  212,559 "
일반,후릭소타이드네뷸0.5밀리그램,AUSTRALIA,2ML/10AMP/PACK,"  24,770 "
일반,로와치넥스캅셀,IRELAND,10CAP/5PTP/BOX,"  80,969 "
일반,플랙스올(멘톨),USA,4OZ(113G)/BOTTLE,"  24,900 "
일반,에이리스정,IRELAND,21TAB/1PTP/PACK,"  640,893 "
일반,머시론정,SPAIN,21TAB/1PTP/PACK,"  507,924 "
일반,로와콜연질캅셀,IRELAND,10CAP/5PTP/BOX,"  612,763 "
일반,리프레쉬플러스점안액0.5%(카르복시메틸셀룰로오스나트륨)(1회용),USA,0.4ML/30TUBE/BOX,"  4,129,977 "
일반,아스피린프로텍트정100밀리그람,GERMANY,14TAB/7PTP/PACK,"  1,668,057 "
일반,아스피린프로텍트정100밀리그람,GERMANY,1500TAB/1BOTTLE/PACK,"  3,552,684 "
일반,아스피린프로텍트정100밀리그람,GERMANY,50TAB/10PTP/PACK,"  4,997,991 "
일반,"레스피비엔액(옥시메타졸린염산염),레스피비엔액프레쉬민트(옥시메타졸린염산염)",SPAIN,15ML/BOTTLE,"  374,334 "
일반,피지오머비강세척액스프레이노즐(멸균등장해수)/피지오머비강세척액젯노즐(멸균등장해수),FRANCE,115ML/BOTTLE,"  327,880 "
일반,피지오머비강세척액스프레이노즐(멸균등장해수)/피지오머비강세척액젯노즐(멸균등장해수),FRANCE,135ML/BOTTLE,"  44,396 "
일반,볼타렌에멀겔(디클로페낙디에틸암모늄),SWITZERLAND,50G/TUBE,"  377,147 "
일반,아이챰브이아이드롭스점안액,JAPAN,15ML/BOTTLE,"  16,551 "
일반,젤존팝카타플라스마(플루르비프로펜),TAIWAN,6매/PACK(7CMX14CM),"  107,539 "
일반,기공활혈고(수입명:CHIKUNGHUOSHIUEHKAO),TAIWAN,6PCS/PACK(10CMX14.5CM),"  194,393 "
일반,조아팝(플루르비프로펜),TAIWAN,10EA/PACK(7CMX14CM),"  643,245 "
일반,조아팝(플루르비프로펜),TAIWAN,6PIECE/PACK(7CMX14CM),"  478,645 "
일반,토노겐시럽,ITALY,10ML/BOTTLE,"  29,040 "
일반,득생만통고,TAIWAN,10PIECES(10CMX15CM)/PACK,"  68,324 "
일반,콘투락투벡스겔,GERMANY,10G/TUBE,"  46,430 "
일반,콘투락투벡스겔,GERMANY,20G/TUBE,"  94,774 "
일반,콘투락투벡스겔,GERMANY,50G/TUBE,"  44,339 "
일반,애드빌정(이부프로펜),AUSTRALIA,10TAB/1PTP/PACK,"  9,631 "
일반,심적환,CHINA,150환/6BOTTLE/CARTON,"  337,200 "
일반,오트리빈0.05%비강분무액(자일로메타졸린염산염),SWITZERLAND,10ML/BOTTLE,"  107,273 "
일반,로세릴크림(아모롤핀염산염),GERMANY,20G/TUBE,"  214,406 "
일반,포텐시에이터액(엘-아스파르트산-엘-아르기닌),SPAIN,10ML/20AMP/BOX,"  558,534 "
일반,아스파라이트박점안액,JAPAN,15ML/BOTTLE,"  42,257 "
일반,케프로펜경고제(케토프로펜),TAIWAN,6매/PACK(7X14CM2),"  54,768 "
일반,다나펜카타플라스마(플루르비프로펜),TAIWAN,6PIECES/PACK(7CMX14CM),"  163,740 "
일반,득생활혈산통고,TAIWAN,6PIECES(10CMX15CM)/PACK,"  67,490 "
일반,득생활혈산통고,TAIWAN,6매(10CMX15CM)/PACK,"  44,141 "
일반,판토가캅셀,SWITZERLAND,15CAP/6PTP/PACK,"  261,446 "
일반,탄툼베르데네뷸라이저(벤지다민염산염),ITALY,30ML/BOTTLE,"  356,529 "
일반,듀라프렙외용액,USA,26ML/20KIT/CASE,"  227,575 "
일반,박티그라(초산클로르헥시딘),UK,10EA/CARTON(10X10CM),"  55,214 "
일반,박티그라(초산클로르헥시딘),UK,10EA/CARTON(15X20CM),"  28,586 "
일반,박티그라(초산클로르헥시딘),UK,12EA/CARTON(15X100CM),"  25,379 "
일반,더생우쿵카오경고제,TAIWAN,6매(10CMX15CM)/PACK,"  65,608 "
일반,더생우쿵카오경고제,TAIWAN,6매/PACK(15X10CM),"  127,282 "
일반,폴락스산(마크로골4000),FRANCE,10SACHET/BOX,"  850,828 "
일반,뉴브이로토이엑스점안액,JAPAN,13ML/BOTTLE,"  899,003 "
일반,맨담네오한방첩부제,TAIWAN,6PIECE/BAG,"  446,610 "
일반,오트리빈베이비내추럴비강분무액(염화나트륨),ITALY,15ML/BOTTLE,"  56,963 "
일반,애바가드외용액,USA,500ML/8BOTTLE/CARTON,"  350,933 "
일반,더존오팔레센스10%(카바마이드퍼옥사이드),USA,1.2ML/4SYRINGE/10BOX/KIT(리필키트),"  20,955 "
일반,더존오팔레센스10%(카바마이드퍼옥사이드),USA,1.2ML/8SYRINGE/KIT(DOCTORKIT),"  6,788 "
일반,유카본정,AUSTRIA,10TAB/10PTP/BOX,"  35,128 "
일반,칼테오-40정(Calteo-40Tablets),USA,180TAB/BOTTLE,"  923,738 "
일반,비판텐연고(덱스판테놀),GERMANY,100G/1TUBE/PACK,"  588,731 "
일반,비판텐연고(덱스판테놀),GERMANY,30G/1TUBE/PACK,"  1,274,585 "
일반,부광더모픽스겔(세르타코나졸질산염)(수입명:Dermofixgel),SPAIN,100ML/1BOTTLE/PACK,"  45,148 "
일반,니코틴엘로젠즈민트향트로키1밀리그램(니코틴타르타르산염수화물),SWITZERLAND,12EA/3PTP/PACK,"  539,171 "
일반,리포직점안겔(카보머),GERMANY,10G/1TUBE/PACK,"  706,059 "
일반,뮤로128점안액5%(염화나트륨),USA,15ML/BOTTLE,"  204,019 "
일반,오큐바이트프리저비전정,USA,120TAB/1BOTTLE/PACK,"  296,305 "
일반,노자임캡슐(판크레아틴장용성제피정),GERMANY,100CAP/1BOTTLE/BOX,"  2,050,331 "
일반,단아팬에프카타플라스마(인도메타신),TAIWAN,6매/PACK(7X14CM2),"  53,409 "
일반,케토프로첩부제(케토프로펜),TAIWAN,7PIECES/PACK(7CMX10CM),"  48,667 "
일반,"더존오팔레센스에프15%(레귤라,메론)",USA,1.2ML/4SYRINGE/10BOX/KIT(리필키트),"  101,609 "
일반,"더존오팔레센스에프15%(레귤라,메론)",USA,1.2ML/8SYRINGE/KIT,"  10,405 "
일반,알소프트액(글루콘산클로르헥시딘액),JAPAN,1L/BOTTLE,"  35,190 "
일반,아세사이드액(저농도과초산평형혼합물),JAPAN,1제(750ML)+2제(750ML)/SET,"  71,292 "
일반,아세사이드액(저농도과초산평형혼합물),JAPAN,1제(875ML)+2제(875ML)/SET,"  1,121,937 "
일반,코로로에스피가글액(글루콘산클로르헥시딘액),JAPAN,1L/BOTTLE,  248 
일반,코로로에스피가글액(글루콘산클로르헥시딘액),JAPAN,50ML/BOTTLE,"  9,000 "
일반,솔레쉬트로키,USA,9LOZENGE/2BLISTER/PACK,"  87,310 "
일반,한미젤라틴공캡슐5호,JAPAN,100000CAP/CARTON,"  9,166 "
일반,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),GERMANY,10ML/10BOTTLE/BOX,"  814,594 "
일반,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),GERMANY,2ML/20AMP/PACK,"  1,820,482 "
일반,카비드츄어블정,NORWAY,30TAB/BOTTLE,"  308,873 "
일반,카비드츄어블정,NORWAY,60TAB/BOTTLE,"  444,908 "
일반,둘코락스좌약(비사코딜),INDONESIA,50SUPP/1FOIL/PACK,"  873,837 "
일반,둘코락스좌약(비사코딜),INDONESIA,5SUPP/1FOIL/PACK,"  107,660 "
일반,니코틴엘껌2밀리그램(니코틴),SWITZERLAND,6EA/4PTP/PACK,"  551,335 "
일반,코프렐정(벤프로페린인산염),CHINA,500TAB/BOTTLE,"  161,774 "
일반,아이오도좁연고(카덱소머요오드),AUSTRALIA,10G/4TUBE/BOX,"  4,593 "
일반,리프레쉬티어즈점안액(카르복시메틸셀룰로오스나트륨0.5%),USA,15ML/BOTTLE,"  303,349 "
일반,코네티비나거즈(히알우론산나트륨),ITALY,10매/BOX(12X10CM2),"  33,643 "
일반,황한당센나분포,JAPAN,25SACHET/PACK,"  29,526 "
일반,황한당센나분포,JAPAN,50SACHET/PACK,"  12,145 "
일반,개비스콘페퍼민트현탁액,UK,10ML/4포/60CASE/CARTON,"  25,665 "
일반,푸레파레숀에치맥시멈스트렌스크림,USA,26G/1TUBE/PACK,"  34,680 "
일반,서근령약교포,TAIWAN,5PIECE/BAG(10*15CM),"  95,536 "
일반,트라보겐크림(이소코나졸질산염),AUSTRIA,20G/TUBE,"  228,963 "
일반,트라보겐크림(이소코나졸질산염),DENMARK,20G/TUBE,"  146,304 "
일반,아젤리아크림(아젤라산),DENMARK,30G/TUBE,"  97,147 "
일반,사리돈에이정,INDONESIA,10TAB/1PTP/PACK,"  1,405,162 "
일반,스티몰액(말산시트룰린),FRANCE,10ML/18SACHET/BOX,"  257,336 "
일반,스티몰액(말산시트룰린),FRANCE,10ML/36SACHET/BOX,"  223,960 "
일반,인도포르테카타플라스마(인도메타신),TAIWAN,6매/PACK(7X14CM2),"  54,453 "
일반,지르텍정(세티리진염산염),SWITZERLAND,10TAB/10PTP/BOX,"  1,753,619 "
일반,지르텍정(세티리진염산염),SWITZERLAND,10TAB/1PTP/BOX,"  3,711,639 "
일반,애드빌리퀴겔연질캡슐(이부프로펜),AUSTRALIA,10CAP/1PTP/CARTON,"  438,383 "
일반,애드빌리퀴겔연질캡슐(이부프로펜),AUSTRALIA,30CAP/BOTTLE,"  186,638 "
일반,만응안통고,CHINA,10PIECE/PACK(10X15CM),"  447,930 "
일반,만응안통고,CHINA,3PIECE/PACK(10X15CM),"  27,418 "
일반,만응안통고,CHINA,5PIECE/PACK(10X15CM),"  378,916 "
일반,만응안통고,CHINA,6PIECE/PACK(10X15CM),"  277,200 "
일반,만응안통고,CHINA,6PIECE/PACK(7X10CM),"  12,400 "
일반,"니코레트껌2밀리그람(니코틴)(과일향,민트향,후레쉬민트향,후룻민트향,쿨민트향)",SWEDEN,30PIECE/PACK,"  1,716,255 "
일반,"니코레트껌4밀리그람(니코틴)(과일향,민트향,후레쉬민트향,후룻민트향,쿨민트향)",SWEDEN,30PIECE/PACK,"  534,399 "
일반,로토지파이뉴점안액,JAPAN,12ML/BOTTLE,"  457,519 "
일반,소프타-맨액,GERMANY,1000ML/BOTTLE,"  32,188 "
일반,노페로캡슐(황산제일철장용성제피정),GERMANY,100CAP/1BOTTLE/BOX,"  20,253 "
일반,노페로캡슐(황산제일철장용성제피정),GERMANY,30CAP/1BOTTLE/BOX,"  85,189 "
일반,아이미루40이엑스점안액,JAPAN,15ML/BOTTLE,"  477,019 "
일반,아이미루콘택트퓨어점안액,JAPAN,10ML/BOTTLE,"  167,379 "
일반,엘엠엑스4크림(리도카인),USA,5G/TUBE,"  36,036 "
일반,옵탈린플러스주,UK,1ML/1PFS/BOX,"  68,470 "
일반,레미페민정(승마40%이소프로판올건조엑스(6∼11:1),GERMANY,10TAB/6PTP/PACK,"  77,044 "
일반,개비스콘더블액션현탁액,UK,10ML/12포/12CASE/1CARTON,"  187,384 "
일반,개비스콘더블액션현탁액,UK,10ML/4포/12CASE/CARTON,"  172,442 "
일반,폴라나이트10%겔(카바마이드퍼옥사이드),AUSTRALIA,10SYRINGE/KIT(SYRINGEKIT),"  5,136 "
일반,폴라나이트10%겔(카바마이드퍼옥사이드),AUSTRALIA,4SYRINGE/KIT(MINIKIT),"  2,563 "
일반,콰이포르테당의정300mg(마늘가루),GERMANY,25TAB/4PTP/PACK,  381 
일반,리만50000엠겔,SWITZERLAND,40G/1TUBE/BOX,"  65,751 "
일반,아도카인즈거즈,CHINA,3G/3매/PACK,"  44,460 "
일반,아프타치정(트리암시놀론아세토니드),JAPAN,10TAB/1PTP/PACK,"  419,668 "
일반,레덕손더블액션발포정,INDONESIA,15TAB/2CAN/PACK,"  33,353 "
일반,타로암모늄락테이트로션12%(젖산암모늄액),CANADA,225G/BOTTLE,"  139,776 "
일반,타로시클로피록스액8%,USA,6.6ML/1BOTTLE/1PACK,"  122,928 "
일반,엘-크라넬알파액0.025%(알파트라디올),GERMANY,100ML/BOTTLE,"  143,216 "
일반,멜리안정,FRANCE,21TAB/1PTP/BOX,"  240,663 "
일반,멜리안정,SWITZERLAND,21TAB/1PTP/BOX,"  111,180 "
일반,테라플루데이타임건조시럽,CANADA,14.888G/6SACHET/CARTON,"  540,898 "
일반,테라플루나이트타임건조시럽,CANADA,14.888G/6SACHET/CARTON,"  1,343,167 "
일반,잔탁정75밀리그램(라니티딘염산염),SPAIN,12TAB/1PTP/PACK,"  599,767 "
일반,잔탁정75밀리그램(라니티딘염산염),SPAIN,12TAB/4PTP/PACK,"  653,801 "
일반,동감고첩부제,TAIWAN,"5매/BAG(1매:9X15CM,6.3G)","  90,859 "
일반,파스툼겔(케토프로펜),ITALY,50G/1BOTTLE/BOX,"  116,366 "
일반,파스툼겔(케토프로펜),ITALY,50G/TUBE,"  54,508 "
일반,슬림락정,JAPAN,50TAB/1PTP/BOX,"  295,976 "
일반,풀케어네일라카(시클로피록스),LUXEMBOURG,3.3ML/1BOTTLE/BOX,"  1,087,235 "
일반,풀케어네일라카(시클로피록스),LUXEMBOURG,6.6ML/1BOTTLE/BOX,"  2,550,365 "
일반,뮤코펙트정(암브록솔염산염),INDONESIA,20TAB/1PTP/PACK,"  72,162 "
일반,뮤코펙트정(암브록솔염산염),INDONESIA,500TAB/BOTTLE,"  1,043,950 "
일반,부스코판당의정(부틸스코폴라민브롬화물),INDONESIA,10TAB/1PTP/PACK,"  238,090 "
일반,부스코판당의정(부틸스코폴라민브롬화물),INDONESIA,500TAB/BOTTLE,"  479,641 "
일반,부스코판플러스정,INDONESIA,10TAB/1PTP/PACK,"  97,365 "
일반,위드원엘과립,JAPAN,6STICK/CASE,"  73,888 "
일반,로토씨큐브아쿠아차지아이점안액,JAPAN,13ML/BOTTLE,"  634,885 "
일반,득생장수고,TAIWAN,6PIECES/PACK(10CMX15CM),"  288,594 "
일반,재우스오라쿠고에이취플라스타(살리실산),JAPAN,6매/BOX(7MM),"  21,411 "
일반,클라리틴정(로라타딘),BELGIUM,10TAB/1PTP/PACK,"  82,074 "
일반,클라리틴정(로라타딘),BELGIUM,15TAB/2PTP/PACK,"  283,476 "
