전문/일반,품명,국가,포장단위, 금액(USD)
전문,"D3베이스주100,000IU",ITALY,1ML/6AMP/BOX,"  51,706 "
전문,"D3베이스주300,000IU",ITALY,1ML/2AMP/BOX,"  104,536 "
전문,가나톤정50밀리그램,JAPAN,10TAB/10PTP/BOX,"  46,236 "
전문,가나톤정50밀리그램,JAPAN,500TAB/BOTTLE,"  129,174 "
전문,가다실9프리필드시린지,USA,0.5ML/10PFS/PACK,"  17,573,738 "
전문,가다실9프리필드시린지,USA,0.5ML/1PFS/PACK,"  39,639,711 "
전문,가다실프리필드시린지,USA,0.5ML/1PFS/PACK,"  12,395,242 "
전문,가도비스트주사바이알,GERMANY,15ML/10VIAL/PACK,"  2,063,582 "
전문,가도비스트주사프리필드시린지,GERMANY,10ML/1PFS/PACK,"  2,578,059 "
전문,가도비스트주사프리필드시린지,GERMANY,7.5ML/5PFS/PACK,"  7,482,260 "
전문,가브스메트정50/1000밀리그램,IRELAND,10TAB/6PTP/PACK,"  7,221,888 "
전문,가브스메트정50/500밀리그램,SWITZERLAND,10TAB/6PTP/PACK,"  5,660,051 "
전문,가브스메트정50/850밀리그램,IRELAND,10TAB/6PTP/PACK,"  5,277,212 "
전문,가브스정50밀리그램,IRELAND,14TAB/2PTP/PACK,"  4,791,862 "
전문,가비르정주500밀리그램,INDIA,1VIAL+1AMPOULE(10ML)(용제)/BOX,"  26,220 "
전문,가스터디정20㎎,JAPAN,10TAB/10PTP/BOX,"  593,527 "
전문,가스트로그라핀,GERMANY,100ML/1VIAL/PACK,"  223,686 "
전문,가싸이바주,SWITZERLAND,40ML/1VIAL/PACK,"  2,195,345 "
전문,간포트점안액(1회용),IRELAND,0.4ML/30TUBE/CARTON,"  820,375 "
전문,간포트점안액(다회용),IRELAND,3ML/BOTTLE,"  56,074 "
전문,갈라폴드캡슐,IRELAND,14CAP/1PTP/PACK,"  591,123 "
전문,갈라폴드캡슐,U.K,14CAP/1PTP/PACK,"  1,031,492 "
일반,개비스콘더블액션현탁액,U.K,10ML/12포/12CASE/1CARTON,"  219,541 "
일반,개비스콘더블액션현탁액,U.K,10ML/4포/12CASE/CARTON,"  387,640 "
일반,개비스콘페퍼민트현탁액,U.K,10ML/4포/60CASE/CARTON,"  104,754 "
전문,경피용건조비씨지백신,JAPAN,1DOSE+1AMP+VACCINATIONTOOL/SET,"  2,203,083 "
전문,고날에프주75IU,SWITZERLAND,75IU/1VIAL/BOX,"  104,923 "
전문,고날-에프펜300IU주,NETHERLANDS,0.5ML/1PFP/BOX(주사침첨부),"  1,328,781 "
전문,고날-에프펜450IU주,NETHERLANDS,0.75ML/1PFP/BOX,"  674,509 "
전문,고날-에프펜900IU주,NETHERLANDS,1.5ML/1PFP/BOX(주사침첨부),"  6,170,880 "
일반,굿윌스보바인젤라틴공캡슐0호,CHINA,"100,000CAPSULE/CARTON","  292,704 "
일반,굿윌스보바인젤라틴공캡슐0호,CHINA,"80,000CAPSULE/CARTON",  192 
일반,굿윌스보바인젤라틴공캡슐0호,CHINA,"95,000CAPSULE/CARTON",  456 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"100,000CAPSULE/CARTON","  244,824 "
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"101,000CAPSULE/CARTON",  215 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"105,000CAPSULE/CARTON",  227 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"106,000CAPSULE/CARTON",  458 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"115,000CAPSULE/CARTON",  248 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"125,000CAPSULE/CARTON","  216,080 "
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"69,000CAPSULE/CARTON",  149 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"74,000CAPSULE/CARTON",  160 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"80,000CAPSULE/CARTON",  173 
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"90,000CAPSULE/CARTON",  194 
일반,굿윌스보바인젤라틴공캡슐2호,CHINA,"115,000CAPSULE/CARTON",  305 
일반,굿윌스보바인젤라틴공캡슐2호,CHINA,"165,000CAPSULE/CARTON",  388 
일반,굿윌스보바인젤라틴공캡슐2호,CHINA,"175,000CAPSULE/CARTON","  146,475 "
일반,굿윌스보바인젤라틴공캡슐3호,CHINA,"225,000CAPSULE/CARTON","  2,959 "
일반,굿윌스보바인젤라틴공캡슐4호,CHINA,"300,000CAPSULE/CARTON","  17,880 "
일반,굿윌스피그젤라틴공캡슐2호,CHINA,"175,000CAPSULE/CARTON","  48,643 "
일반,굿윌스피그젤라틴공캡슐3호,CHINA,"225,000CAPSULE/CARTON","  84,818 "
일반,굿윌스피그젤라틴공캡슐4호,CHINA,"300,000CAPSULE/CARTON","  30,960 "
전문,그라신300프리필드시린지주,JAPAN,0.7ML/10SYRINGE/BOX,"  6,531,856 "
전문,그라신프리필드시린지주,JAPAN,0.3ML/10SYRINGE/BOX,"  250,360 "
전문,그라신프리필드시린지주,JAPAN,0.6ML/10SYRINGE/BOX,"  1,183,245 "
전문,글라민주,AUSTRIA,250ML/10VIAL/PACK,"  58,105 "
전문,글라민주,AUSTRIA,500ML/10VIAL/PACK,"  561,664 "
전문,글라이프레신1밀리그램,SWITZERLAND,1MG/1VIAL/BOX,"  1,031,562 "
전문,글라지아프리필드펜,INDIA,3ML/5PFP/BOX,"  423,990 "
전문,글루리아드정500/2.5밀리그람,FRANCE,20TAB/3PTP/BOX,"  39,956 "
전문,글루리아드정500/2.5밀리그람,FRANCE,20TAB/6PTP/BOX,"  39,582 "
전문,글루리아드정500/5밀리그람,FRANCE,10TAB/6PTP/BOX,"  22,300 "
전문,글루리아드정500/5밀리그람,FRANCE,20TAB/6PTP/BOX,"  85,755 "
전문,글루코반스정500/2.5밀리그램,FRANCE,10TAB/6PTP/BOX,"  39,449 "
전문,글루코반스정500/5밀리그램,FRANCE,10TAB/6PTP/BOX,"  86,794 "
전문,글루코파지엑스알1000밀리그램서방정,U.K,10TAB/6PTP/PACK,"  2,900,869 "
전문,글루코파지엑스알서방정,U.K,15TAB/4PTP/PACK,"  836,194 "
전문,글루코파지정1000밀리그램,FRANCE,15TAB/4PTP/BOX,"  219,730 "
전문,글리메필정,INDIA,10TAB/10PTP/PACK,"  27,137 "
전문,글리벡필름코팅정100밀리그램,SWITZERLAND,10TAB/6PTP/PACK,"  27,031,066 "
전문,글리올란,GERMANY,1.5G/1VIAL/PACK,"  548,507 "
일반,기공활혈고,TAIWAN,6PCS/PACK(10CMX14.5CM),"  66,412 "
전문,나글라자임주,USA,5ML/1VIAL/BOX,"  1,102,505 "
전문,나라돌주500,GERMANY,500MCG/3AMP/BOX,"  328,438 "
전문,나라믹정2.5밀리그람,U.K,6TAB/1PTP/PACK,"  5,748,138 "
